1,1,0.013
1,2,0.004
1,3,0.006
2,1,0.035
2,2,0.015
2,3,0.017
3,1,0.533
3,2,0.040
3,3,0.042
4,1,1.776
4,2,0.057
4,3,0.055
5,1,2.056
5,2,0.426
5,3,0.402
6,1,3.178
6,2,0.556
6,3,0.516
7,1,0.041
7,2,0.031
7,3,0.031
8,1,0.041
8,2,0.028
8,3,0.026
9,1,3.086
9,2,0.802
9,3,0.780
10,1,3.529
10,2,0.873
10,3,0.906
11,1,1.945
11,2,0.213
11,3,0.231
12,1,2.093
12,2,0.266
12,3,0.261
13,1,3.275
13,2,0.644
13,3,0.573
14,1,5.189
14,2,0.857
14,3,0.829
15,1,3.645
15,2,0.795
15,3,0.737
16,1,2.072
16,2,0.508
16,3,0.486
17,1,6.192
17,2,2.068
17,3,1.951
18,1,5.644
18,2,1.222
18,3,1.211
19,1,10.352
19,2,3.746
19,3,3.768
20,1,1.124
20,2,0.031
20,3,0.055
21,1,31.416
21,2,0.722
21,3,0.692
22,1,28.093
22,2,0.847
22,3,0.842
23,1,38.148
23,2,0.956
23,3,0.929
24,1,153.305
24,2,2.803
24,3,2.326
25,1,8.125
25,2,0.227
25,3,0.204
26,1,3.770
26,2,0.212
26,3,0.195
27,1,6.939
27,2,0.250
27,3,0.228
28,1,33.550
28,2,0.768
28,3,0.741
29,1,23.326
29,2,9.514
29,3,9.463
30,1,1.245
30,2,1.184
30,3,1.225
31,1,5.485
31,2,0.476
31,3,0.449
32,1,13.430
32,2,0.652
32,3,0.631
33,1,11.429
33,2,3.157
33,3,3.419
34,1,25.052
34,2,3.194
34,3,3.081
35,1,28.832
35,2,3.446
35,3,3.148
36,1,2.133
36,2,1.167
36,3,1.115
37,1,0.243
37,2,0.060
37,3,0.052
38,1,0.093
38,2,0.042
38,3,0.035
39,1,0.241
39,2,0.034
39,3,0.029
40,1,0.453
40,2,0.099
40,3,0.129
41,1,0.109
41,2,0.028
41,3,0.024
42,1,0.071
42,2,0.019
42,3,0.020
43,1,0.049
43,2,0.015
43,3,0.016
