query1,159,127,129
query2,274,223,247
query3,4074,4105,3981
query4,8180,8723,7979
query5,5267,6215,5705
query6,12648,2652,2510
query7,642,473,369
query8,2230,531,479
query9,50645,49470,51468
query10,50486,54475,53354
query11,5026,1290,1306
query12,2402,1287,1246
query13,9843,7846,7104
query14,null,null,null
query15,9710,9654,9955
query16,41436,33122,32132
query17,94110,26508,26555
query18,26102,25926,25125
query19,null,null,null
query20,214,89,204
query21,53794,1862,926
query22,8924,520,1078
query23,null,null,null
query24,12397,2716,11225
query25,57373,983,1780
query26,9676,768,306
query27,4154,637,345
query28,65191,11526,11513
query29,null,null,null
query30,85791,84722,84544
query31,17672,10448,10319
query32,35485,11784,11512
query33,66062,11732,10784
query34,null,null,null
query35,null,null,null
query36,76960,23158,51569
query37,4318,374,308
query38,3271,161,156
query39,2300,78,60
query40,9245,997,904
query41,25025,9340,9176
query42,9481,2111,64
query43,840,494,499
